"Origin","Target","Type","Format"
"/technology","/aera-decision-cloud",301,"plain"
"/platform","/aera-decision-cloud",301,"plain"
"/cognitive-operating-system","/aera-decision-cloud",301,"plain"
"/company","/about-us",301,"plain"
"/newsroom","/",301,"plain"
"/weeklywebcast","/",301,"plain"
"/news/self-driving-supply-chains-are-within-reach","/",301,"plain"
"/news/perfecting-the-balancing-act-of-inventory-management","/",301,"plain"
"/news/supply-chain-startup-enabling-the-self-driving-supply-chain","/",301,"plain"
"/perspectives/c-suite-strategies-to-build-supply-chain-resilience-in-the-wake-of-covid-19","/resources",301,"plain"
"/perspectives/keeping-an-eye-and-ear-on-patients-needs-where-ai-meets-supply-chain","/resources",301,"plain"
"/perspectives/can-ai-really-help-the-digital-economy","/resources",301,"plain"
"/perspectives/bringing-lean-up-to-speed","/resources",301,"plain"
"/perspectives/taming-the-retail-supply-chain-beast","/resources",301,"plain"
"/perspectives/the-future-of-planning-from-high-touch-to-touchless","/resources",301,"plain"
"/perspectives/15-down-and-dirty-ways-to-get-green-now","/resources",301,"plain"
"/perspectives/how-cognitive-tech-can-prevent-a-food-crisis","/resources",301,"plain"
"/perspectives/how-cognitive-technologies-can-help-managers-during-the-covid-19-crisis","/resources",301,"plain"
"/perspectives/conquering-the-endless-quest-for-supply-chain-visibility","/resources",301,"plain"
"/perspectives/covid-19-crisis-shows-supply-chains-need-to-embrace-new-technologies","/resources",301,"plain"
"/perspectives/how-cognitive-automation-can-stop-the-insanity-of-unprofitable-trade-promotions","/resources",301,"plain"
"/perspectives/connecting-the-dots-with-decision-intelligence","/resources",301,"plain"
"/perspectives/aera-uses-decision-intelligence-to-forge-the-future-of-work","/resources",301,"plain"
"/perspectives/aera-and-aws-decision-intelligence-drives-supply-chain-decision-agility","/blogs/aera-and-aws-decision-intelligence-drives-supply-chain-decision-agility",301,"plain"
"/blogs/blogs/how-ai-is-shaping-the-future-of-work","/blogs/how-ai-is-shaping-the-future-of-work",301,"plain"
"/perspectives/the-ey-aera-technology-alliance","/news/the-ey-aera-technology-alliance",301,"plain"
"/blogs/aera-and-aws-decision-intelligence-drives-supply-chain-decision-agility","/resources",301,"plain"
"/blogs/the-ey-aera-technology-alliance","/resources",301,"plain"
"/news/c-suite-strategies-to-build-supply-chain-resilience-in-the-wake-of-covid-19","/perspectives/c-suite-strategies-to-build-supply-chain-resilience-in-the-wake-of-covid-19",301,"plain"
"/news/keeping-an-eye-and-ear-on-patients-needs-where-ai-meets-supply-chain","/perspectives/keeping-an-eye-and-ear-on-patients-needs-where-ai-meets-supply-chain",301,"plain"
"/news/can-ai-really-help-the-digital-economy","/perspectives/can-ai-really-help-the-digital-economy",301,"plain"
"/news/bringing-lean-up-to-speed","/perspectives/bringing-lean-up-to-speed",301,"plain"
"/news/taming-the-retail-supply-chain-beast","/perspectives/taming-the-retail-supply-chain-beast",301,"plain"
"/news/the-future-of-planning-from-high-touch-to-touchless","/perspectives/the-future-of-planning-from-high-touch-to-touchless",301,"plain"
