,,,,,,,
,"Note: For years 2024 and 2025, we'll keep all. So only mentioned blogs that we'll update in this sheet",,,,,,
,,,,,,,
,Content Name,Content Type,Year,"Priority (1,2,3)","Decision (Keep, Update, Retire)",Updates suggested (Y/N,Comments/Suggestions/Reasons
,What Chip Shortages Can Teach Us about Supply Chain Meltdowns,Blog,2021,,Retire,,Old story about chip shortages
,3 Questions to Ask When Measuring the Value of Decision Intelligence,Blog,2021,,Retire,,Old messaging; Much of the text exist in the newer blogs such as 'What is DI'
,Can Decision Intelligence Help You Make Better Procurement Decisions?,Blog,2021,3,Update,,Update intro to DI at the end
,5 Ways Decision Intelligence is Transforming Supply Chain Processes,Blog,2021,,Retire,,Old content with use cases not much relevant to us 
,How Artificial Intelligence Helps Overcome Bias in Enterprise Decision Making,Blog,2021,3,Update,,Update with newer messaging in place of AI augmented
,How Automated Technology Can Save Your Supply Line,Blog,2021,3,Retire,,Older story
,Bringing Lean Up to Speed in the Pharma Industry,Blog,2021,3,Update,,"Still relevant, Introduce Agentic DI"
,Why Machines Will Always Need That Human Touch,Blog,2021,,Keep,,Relevant today
,Building a Supply Chain for Omnichannel Commerce,Blog,2021,3,Update,,"Still relevant, Introduce Agentic DI"
,How Decision Intelligence Gives CIOs Time to Innovate,Blog,2022,3,Update,,"Still relevant, Introduce Agentic DI"
,Black Swans and the Power of Decision Intelligence,Blog,2022,,Keep,,"Still relevant, Update Agentic DI"
,Decision Intelligence: What Today's CIO Needs to Consider,Blog,2022,,Retire,,Need a complete rewrite
,"Too Many Decisions, Not Enough Time – Here’s How CPG Companies are Evolving to Keep Up",Blog,2022,,Retire,,Outdated concepts like the great resignation. It'll need a complete overhaul
,Solving Order Management Doesn’t Have to Be a Mystery,Blog,2022,,Retire,,Outdated concepts such as the post-Covid world. It'll need a complete overhaul
,Three Important Ways Decision Intelligence is Transforming Procurement,Blog,2022,,Retire,,"Spendmatters 2022 article, referance fo Covid challenges."
,How Decision Intelligence Helps CPG Companies Deliver on Brand Promises,Blog,2022,3,Update,,"Remove the ""2021 Ever Given incident"" referance and webinar referance, introduce Agentic DI"
,Transforming Supply Chain Management: What is Touchless Planning?,Blog,2022,,Retire,,The article explains Touchless Demand Forecasting and will need a lot of messagng updates
,Black Swan Events Are A Problem. But Let’s Not Focus On That.,Blog,2023,,Retire,,Outdated events and reports
,Supply-Side Optimization: CPG Companies Can Overcome Raw Materials Volatility with Decision Intelligence,Blog,2023,3,Update,,Update the referance of DI and its impact with newer messaging
,Decision Intelligence in 2023: Prepare for These 10 AI & Machine Learning Milestones,Blog,2023,,Retire,,Outdated timeline
,A Bigger Lever: How Decision Intelligence and Planning Solutions Work Together,Blog,2023,,Keep,,Good as it is
,Decision Intelligence for Sustainability: A Solution to Trade-offs and Increased Complexity,Blog,2023,3,Update,,"2021 survey referanced, we can use a new datapoint"
,Do you know Ada Lovelace?,Blog,2023,,Retire,,Not a relevant article
,The Key to Preparing for Disruptions: Connect Planning with Execution,Blog,2023,,Keep,,We can keep it as it is
,The Challenge of Operationalizing Data Science: A March Madness Analogy,Blog,2023,3,Update,,We can update to newer article links on March madness
,How CPG Companies Optimize Trade Promotions and Media Spend with Decision Intelligence,Blog,2023,3,Update,,We can update to newer article linkson social media selling
,How Decision Intelligence is Solving Enterprise Data Quality Challenges,Blog,2023,,Keep,,We can keep it as it is
,Moving from Intention to Action: Decision Intelligence for Sustainability,Blog,2023,,Keep,,"EY article, we can keep"
,What is Decision Intelligence?,Blog,2023,1,Retire,,We can updated content on this in the new blog. We should retire this one. Also this should be harming our SEO efforts.
,The Challenge of AI-Driven Supply Chains: Why This Is a Critical Moment,Blog,2023,,Retire,,Lot of older referances and about a co-authored report from 2022
,The Key to Unlocking Logistics Management Challenges: Decision Intelligence,Blog,2023,,Retire,,About an older mention in a report. 
,Decision Intelligence in Manufacturing: What We Learned at NAMES 2023,Blog,2023,,Retire,,About NAMES 2023
,Making Intelligent Media Decisions with Marketing and Supply Synchronization,Blog,2023,,Retire,,Lot of older referances
,The Growing Need for Decision Intelligence: What We Learned at #GartnerSC Orlando 2023,Blog,2023,,Retire,,About 2023 summit
,Unlocking Greater Value from Data Science and AI Initiatives,Blog,2023,,Keep,,About a 2023 co-authored report
,The Evolution of Digital Control Towers: Command Centers for Decision Making,Blog,2023,,Keep,,We can keep it as it is
,Decision Intelligence Can Save Lives: How AI Can Combat Drug Shortages,Blog,2023,3,Update,,Referance to an old unavailable article must be changed
,Women in Innovation: A Q&A on Leadership and the Future of Supply Chain,Blog,2023,,Keep,,We can keep it
,Building the Future of Work with AI-Powered Decision Intelligence,Blog,2023,,Keep,,"About change management, we can keep it"
,Addressing Aging Inventory Management with AI: How Aera Decision Cloud™ Reduces Waste and Cost,Blog,2023,3,Update,,We can change referances to older reports
,Unleashing Efficiency and Eliminating Stockouts with AI and Decision Intelligence,Blog,2023,3,Update,,We can change referances to older links
,Improving Demand Forecasting with AI: The Journey to Decision Automation,Blog,2023,3,Update,,We can update the referabce to an older report
,The Next Frontier for Generative AI: Business Decision Making,Blog,2024,2,Update,Yes,Sprinkle with agentic DI messaging
,Decision Intelligence is Going Mainstream: Seize the Competitive Edge as an Early Adopter,Blog,2024,2,Update,Yes,Sprinkle with agentic DI messaging
,What is Decision Intelligence?,Blog,2025,2,Update,Yes,Sprinkle with agentic DI messaging
,Closing the Loop: How Humans and Forecast Agents Can Learn Together to Improve Continuous Forecasting,Blog,2025,2,Update,Yes,Sprinkle with agentic DI messaging
,"Supply Chain Waste Prevention, Reimagined: Decision Intelligence in Action",Blog,2025,2,Update,Yes,Sprinkle with agentic DI messaging
,Smarter Claims Processing for Faster Cash Flow,Blog,2025,2,Update,Yes,Sprinkle with agentic DI messaging
,"Material Planning, Reimagined: AI Agents in Action",Blog,2025,1,Update,Yes,Sprinkle with agentic DI messaging
,Smarter Waste Mitigation for Maximum Margin Recovery and Less Loss,Blog,2025,1,Update,Yes,Sprinkle with agentic DI messaging
,"Demand Planning, Transformed: AI Agents in Action",Blog,2025,1,Update,Yes,Sprinkle with agentic DI messaging
,,,,,,,Sprinkle with agentic DI messaging
