,,,,,,,,
,,,,,,,,
,,,,,,,,
,Function,Categories,Skill,Website Content,Card Definitions,Demo Video Link/ Screenshot Link,Screenshots Recommendation Content,"Attachements (One Pager, Whitepaper, Blog, Case study)"
,"
Supply Chain",Demand,Touchless Demand Forecasting,"Improve forecast accuracy and reduce demand-led losses with automated, AI-driven forecasting.

Understands Evaluates historical demand patterns and external factors to forecast future demand.
Recommends Provides precise demand forecasts and adjusts in real time to market changes.
Acts Automatically generates demand plans and executes updates, reducing manual effort.
Learns Continuously improves forecast accuracy by learning from outcomes to minimize demand-driven losses, optimize inventory levels, and improve service reliability.",Improve forecast accuracy and reduce demand-led losses with automated forecasting.,Current Website Video,NA,"Blog: Improving demand forecasting

Impact at Becle"
,,,Short-Term Demand Sensing,"React quickly to real-time changes in demand, reducing planner effort and enhancing responsiveness.

Understands: Monitors short-term demand fluctuations using real-time data inputs.
Recommends: Adjusts forecasts and plans to align with current demand signals.
Acts: Automates changes to operational plans, reducing manual effort.
Learns: Continuously improves short-term sensing by learning from outcomes to save planner time, enhance responsiveness, and boost operational efficiency.","React quickly to real-time demand changes, reducing planner effort and improving responsiveness.",Current Website Video,NA,Unilver: How DI is revolutionising Demand Sensing
,,,Mid-Term Demand Planning,"Optimize mid-term planning by automating demand re-evaluation and scenario analysis.

Understands Evaluates sales patterns, production capacity, and market signals to assess mid-term demand shifts.
Recommends Provides adjusted demand plans with scenario evaluations and supply recommendations.
Acts Automatically updates mid-term plans and triggers reviews when critical changes occur.
Learns Continuously improves planning accuracy by learning from outcomes to improve service levels, reduce operational disruptions, and increase visibility into mid-term risks and mitigation opportunities.",Optimize mid-term planning by automating demand re-evaluation and scenario analysis.,New video created,NA,"Blog: Demand Planning with Agents

Merck Animal Health Video"
,,,Product Lifecycle Forecasting,"Optimize long-term planning across the product lifecycle, minimizing excess inventory and waste.

Understands Analyzes product lifecycle stages and sales patterns to forecast demand accurately.
Recommends Suggests optimal production and inventory strategies for each lifecycle stage.
Acts Adjusts plans dynamically to align with changing lifecycle phases.
Learns Continuously improves lifecycle forecasts by learning from outcomes to reduce excess inventory, improve profitability, and minimize waste.","Optimize long-term planning across the product lifecycle, minimizing excess inventory and waste.",Screenshot 4 - Generic,NA,Blog: Demand Planning
,,,SKU Transition and Activation,"Ensure seamless demand and supply continuity during SKU transitions, avoiding disruptions and lost sales.

Understands Identifies upcoming SKU introductions, retirements, and replacements across the portfolio.
Recommends Suggests transition plans for phasing out old SKUs and activating new ones.
Acts Executes SKU mapping, adjusts forecasts, and coordinates supply.
Learns Continuously improves transition accuracy by learning from outcomes to minimize stockouts and excess inventory of old SKUs, accelerate adoption of new SKUs, and maintain service levels.","Ensure seamless demand and supply continuity during SKU transitions, avoiding disruptions and lost sales.",Screenshot 3 - Generic,NA,Blog: Planning in high tech supply chains
,,,New Product Introduction,"Accelerate successful product launches by forecasting demand and aligning supply for new SKUs to maximize revenue.

Understands Analyzes market signals, historical analogs, and demand drivers to anticipate adoption curves for new products.
Recommends Suggests launch volumes, phased ramp-up, and channel allocation strategies.
Acts Adjusts production, inventory placement, and promotional levers to support product availability.
Learns Continuously improves introduction forecasts by learning from outcomes to reduce launch-related stockouts, minimize overproduction, and maximize revenue capture.",Accelerate product launches by forecasting demand and aligning supply for new SKUs.,New video created,NA,Video: Aera Agent
,,Inventory,Dynamic Inventory Management,"Optimize inventory levels across the network by dynamically adjusting to demand and supply variability.

Understands Analyzes historical and real-time demand patterns to set optimal stock levels.
Recommends Identifies inventory surplus or shortages and provides actionable rebalancing strategies.
Acts Automates stock reallocation to high-demand areas, maintaining desired service levels.
Learns Continuously improves inventory forecasts and rebalancing decisions by learning from outcomes to reduce excess inventory, prevent stockouts, and enhance service levels.",Optimize inventory levels across the network by dynamically adjusting to demand and supply variability.,Current Website Video,NA,"Blog: Optimizing inventory

GSK video"
,,,Stock Rebalancing,"Redistribute inventory across locations to reduce carrying costs and improve availability.

Understands Detects overstocked and understocked locations using network-wide visibility.
Recommends Proposes optimal transfers to balance inventory across the network.
Acts Automates stock transfers so critical products are available where they are needed most.
Learns Continuously improves rebalancing accuracy by learning from outcomes to lower carrying costs, reduce unnecessary stock build-ups, and improve network efficiency.","Redistribute inventory across locations to reduce carrying costs and improve availability.
",Current Website Video,NA,"Blog: Inventory in F&B

Castrol video"
,,,Ageing Inventory Management (In place of Production Scheduling),"Minimize waste and optimize usage by proactively managing aging inventory.

Understands Monitors inventory age, demand velocity, expiration dates, and obsolescence risk across SKUs and locations.
Recommends Identifies at-risk inventory with suggested actions including markdowns, transfers, liquidation, or production adjustments.
Acts Automatically triggers disposal workflows, markdown approvals, and inventory reallocation processes.
Learns Continuously improves inventory risk management by learning from outcomes to reduce write-offs and obsolescence costs, improve working-capital efficiency, and enhance inventory turnover.",Minimize waste and optimize usage by proactively managing aging inventory.,Screenshot 2,NA,"WP:E&O


Video: E&O"
,,,Supply Chain Loss Prevention,"Minimize future losses by taking preventive action on projected excess production.

Understands Identifies potential overproduction by analyzing projected volumes against anticipated demand.
Recommends Suggests preventive measures including production plan reductions, schedule adjustments, or order cancellations.
Acts Generates proactive prevention plans before resources are committed to unnecessary production.
Learns Continuously improves forecasting logic by learning from outcomes to decrease inventory waste, optimize resource allocation, and reduce supply chain costs.",Minimize future losses by taking preventive action on projected excess production.,Screenshot 3 - Generic,NA,"Webinar: Waste in SC

Hershey video from the event: Hershey used this skill"
,,,Supply Chain Loss Mitigation,"Prevent inventory losses by proactively managing at-risk stock before it becomes waste.

Understands Identifies short-dated, blocked, and excess inventory by matching supply and demand at the order-line and batch level.
Recommends Suggests optimal mitigation actions including redeployment, promotions, liquidation, marketplace listing, donation, or scrap.
Acts Generates ready-to-execute plans for each identified stock situation, enabling immediate action.
Learns Continuously improves inventory management by learning from outcomes to reduce stock waste, improve inventory turnover rates, and enhance sustainability outcomes.",Prevent inventory losses by proactively managing at-risk stock before it becomes waste.,Screenshot 2,NA,"Blog: Smarter waste mitigation

Video: Managing SC waste

Hershey video from the event: Hershey used this skill"
,,,Stockout Prevention,"Maintain service levels by proactively addressing potential stockouts.

Understands
Monitors demand signals, inventory levels, and supply constraints to identify stockout risks across locations and channels.
Recommends
Provides optimal procurement, transfer, or production solutions to prevent stock interruptions and maintain service targets.
Acts
Automatically executes replenishment actions, triggers expedited orders, and initiates inventory transfers.
Learns
Continuously improves stockout prevention by learning from outcomes to reduce lost sales, improve inventory availability, and enhance customer satisfaction.",Maintain service levels by proactively addressing potential stockouts.,Screenshot 1,NA,
,,,Dynamic Norm Setting,"Set inventory norms dynamically, aligned with service-level objectives.

Understands Analyzes demand variability, lead times, and service-level requirements to determine optimal inventory parameters.
Recommends Suggests target stock levels, safety stock, and reorder points based on current market conditions.
Acts Automatically updates inventory norms and alerts teams when parameters need adjustment.
Learns Continuously improves norm-setting logic by learning from outcomes to optimize inventory investment efficiency, maintain desired service levels, and reduce excess safety stock requirements.","Set inventory norms dynamically, aligned with service-level objectives.",New video created - Dynamic Safety Stock,NA,Unilever used this skill - Video
